Date,ASHR,FXI,KWEB,MCHI,SPY
2018-03-28,27.698986053466797,39.007022857666016,51.25246047973633,58.67958450317383,230.91677856445312
2018-03-29,28.68954849243164,39.500362396240234,52.38667297363281,59.7336540222168,233.8673553466797
2018-04-02,28.020002365112305,38.63910675048828,51.01368713378906,58.28757095336914,228.8194580078125
2018-04-03,28.3685359954834,39.24114990234375,50.93693542480469,58.83639144897461,231.75222778320312
2018-04-04,28.377708435058594,39.207698822021484,51.26952362060547,58.93220138549805,234.23165893554688
2018-04-05,28.496936798095703,39.291316986083984,51.585052490234375,59.08900833129883,236.08029174804688
2018-04-06,27.772363662719727,38.43842697143555,50.31440734863281,57.6690559387207,230.8190460205078
2018-04-09,27.80904769897461,38.906673431396484,51.14160919189453,58.42695617675781,231.95660400390625
2018-04-10,28.753751754760742,40.135841369628906,52.352561950683594,60.177947998046875,235.6448516845703
2018-04-11,28.79043960571289,40.18601608276367,52.301395416259766,60.11696243286133,234.40945434570312
2018-04-12,28.671205520629883,40.33651351928711,51.97733688354492,60.19535446166992,236.3380584716797
2018-04-13,28.14841079711914,39.801368713378906,50.58729553222656,59.08900833129883,235.6448516845703
2018-04-16,27.80904769897461,39.30803298950195,50.715213775634766,58.784114837646484,237.58221435546875
2018-04-17,27.607269287109375,39.32475662231445,51.80677795410156,59.0367546081543,240.12400817871094
2018-04-18,27.643959045410156,39.2327766418457,51.59358215332031,59.02804946899414,240.30174255371094
2018-04-19,27.726505279541016,39.366573333740234,51.4400749206543,59.019317626953125,238.96859741210938
2018-04-20,27.194536209106445,38.814697265625,50.63846206665039,58.23530197143555,236.94236755371094
2018-04-23,27.24039649963379,38.78962326049805,50.07562255859375,57.886844635009766,236.9068145751953
2018-04-24,27.85491371154785,39.27459716796875,49.444557189941406,57.90427780151367,233.7162628173828
2018-04-25,27.6898193359375,38.948482513427734,48.659996032714844,57.52096939086914,234.29400634765625
2018-04-26,27.341285705566406,39.12407684326172,49.27400207519531,58.052364349365234,236.67576599121094
2018-04-27,27.24956703186035,39.19097137451172,49.743038177490234,58.331119537353516,236.89791870117188
2018-04-30,27.332115173339844,39.24114990234375,50.152374267578125,58.23530197143555,235.07606506347656
2018-05-01,27.231224060058594,39.19933319091797,50.20353698730469,58.35725402832031,235.49374389648438
2018-05-02,26.946895599365234,39.090633392333984,50.30587387084961,58.20917510986328,233.911865234375
2018-05-03,27.231224060058594,38.83979034423828,49.93064498901367,57.9304084777832,233.39630126953125
2018-05-04,27.212881088256836,38.915042877197266,50.49348831176758,58.540191650390625,236.4180450439453
2018-05-07,27.55223846435547,38.70600509643555,51.59358215332031,58.670867919921875,237.2178955078125
2018-05-08,27.845739364624023,39.27459716796875,52.164947509765625,59.472312927246094,237.2178955078125
2018-05-09,27.937456130981445,39.650856018066406,51.72150421142578,59.76850128173828,239.51072692871094
2018-05-10,28.377708435058594,40.152565002441406,52.88981246948242,60.81386184692383,241.7503662109375
2018-05-11,28.084209442138672,40.269622802734375,52.45489501953125,60.75288009643555,242.48789978027344
2018-05-14,28.39604949951172,40.662628173828125,53.017730712890625,61.27555465698242,242.60354614257812
2018-05-15,27.992488861083984,39.976966857910156,51.602108001708984,60.143104553222656,240.93276977539062
2018-05-16,28.230953216552734,40.63753890991211,52.463417053222656,61.41495895385742,241.9458770751953
2018-05-17,27.790706634521484,39.96024703979492,51.985862731933594,60.53507614135742,241.74147033691406
2018-05-18,28.001659393310547,40.043861389160156,51.26099395751953,60.24763107299805,241.13711547851562
2018-05-21,28.350189208984375,40.36996078491211,51.098960876464844,60.70931625366211,242.95004272460938
2018-05-22,28.17592430114746,40.160926818847656,51.30363464355469,60.42185592651367,242.2746124267578
2018-05-23,27.643959045410156,39.72611618041992,51.550941467285156,60.36958312988281,242.9411163330078
2018-05-24,27.524723052978516,39.48363494873047,51.51683044433594,60.12566375732422,242.44361877441406
2018-05-25,27.36880111694336,39.4000129699707,51.38890838623047,60.265052795410156,241.86595153808594
2018-05-29,26.91020965576172,38.55549621582031,51.431556701660156,59.21097183227539,239.08419799804688
2018-05-30,26.86435317993164,38.731082916259766,52.12230682373047,59.472312927246094,242.2746124267578
2018-05-31,27.148679733276367,39.048828125,52.48900604248047,59.960147857666016,240.79049682617188
2018-06-01,27.111989974975586,39.53379821777344,53.947269439697266,60.86613082885742,243.154541015625
2018-06-04,27.295425415039062,40.11075973510742,54.87681198120117,61.902767181396484,244.3098907470703
2018-06-05,27.55223846435547,40.18601608276367,55.2861442565918,62.059574127197266,244.48756408691406
2018-06-06,27.708160400390625,40.779685974121094,55.26056671142578,62.84360122680664,246.53167724609375
2018-06-07,27.396318435668945,40.52883529663086,54.945030212402344,62.12055969238281,246.5050811767578
2018-06-08,27.139507293701172,40.311431884765625,55.42258834838867,61.92891311645508,247.23374938964844
2018-06-11,27.194536209106445,40.152565002441406,55.78929138183594,61.955047607421875,247.56256103515625
2018-06-12,27.36880111694336,40.10239028930664,56.28390884399414,62.2251091003418,247.8826141357422
2018-06-13,27.056961059570312,39.48363494873047,55.66990661621094,61.39751434326172,247.09153747558594
2018-06-14,26.97441291809082,39.35820770263672,56.60796356201172,61.38009262084961,247.71368408203125
2018-06-15,26.653398513793945,39.14080047607422,56.28390884399414,61.11875915527344,247.3975830078125
2018-06-18,26.341552734375,38.672550201416016,56.37771987915039,60.517669677734375,246.88877868652344
2018-06-19,25.42436981201172,38.10066604614258,54.78300094604492,59.40191650390625,245.94253540039062
2018-06-20,25.571117401123047,37.888851165771484,55.36289596557617,59.37566375732422,246.3621063232422
2018-06-21,25.07583999633789,36.99076843261719,53.93874740600586,58.22929382324219,244.8176727294922
2018-06-22,25.34182357788086,37.44828414916992,54.024024963378906,58.693092346191406,245.2640838623047
2018-06-25,24.75482749938965,36.643394470214844,51.54241180419922,57.13541030883789,241.92527770996094
2018-06-26,24.47966957092285,36.60104751586914,51.6873893737793,56.960384368896484,242.46096801757812
2018-06-27,23.745920181274414,35.575870513916016,49.359283447265625,55.16642761230469,240.4523468017578
2018-06-28,23.874326705932617,35.88935089111328,50.186485290527344,55.700233459472656,241.82711791992188
2018-06-29,24.332921981811523,36.40616989135742,50.809017181396484,56.53158187866211,242.1753387451172
2018-07-02,23.34235954284668,35.66059875488281,50.391151428222656,55.72648620605469,242.6930694580078
2018-07-03,23.29650115966797,35.65211868286133,50.28029251098633,55.60397720336914,241.83604431152344
2018-07-05,23.076374053955078,35.54197692871094,49.708919525146484,55.19268035888672,243.80892944335938
2018-07-06,23.28732681274414,35.87240219116211,50.82606887817383,56.041526794433594,245.8711395263672
2018-07-09,24.140310287475586,36.62645721435547,51.67885971069336,57.23166275024414,248.08505249023438
2018-07-10,24.103622436523438,36.45700454711914,50.74079895019531,56.627845764160156,248.9777374267578
2018-07-11,23.268985748291016,35.71990203857422,50.08414840698242,55.51646041870117,247.15664672851562
2018-07-12,24.140310287475586,36.3807487487793,51.354801177978516,56.61909103393555,249.3973388671875
2018-07-13,24.02107810974121,36.34686279296875,50.851654052734375,56.53158187866211,249.59385681152344
2018-07-16,23.901840209960938,35.93171310424805,50.97105026245117,56.137786865234375,249.37062072753906
2018-07-17,23.83763885498047,35.87240219116211,51.20130157470703,56.20779800415039,250.37939453125
2018-07-18,23.6358585357666,35.71990203857422,50.86018371582031,56.0765266418457,250.90606689453125
2018-07-19,23.195613861083984,35.07599639892578,49.68333435058594,55.000144958496094,249.9597930908203
2018-07-20,23.975215911865234,35.914772033691406,49.91358947753906,55.708988189697266,249.67408752441406
2018-07-23,23.93853187561035,35.83004379272461,49.58100509643555,55.43770217895508,250.13833618164062
2018-07-24,24.68144989013672,36.999244689941406,49.68333435058594,56.54909133911133,251.39697265625
2018-07-25,24.77316665649414,37.5245361328125,51.23541259765625,57.704227447509766,253.53955078125
2018-07-26,24.131139755249023,36.804378509521484,50.135311126708984,56.64535140991211,252.94142150878906
2018-07-27,23.993560791015625,36.79590606689453,49.28253173828125,56.2427978515625,251.2274627685547
2018-07-30,23.947704315185547,36.69424057006836,47.79015350341797,55.67398452758789,249.91510009765625
2018-07-31,24.305404663085938,36.956878662109375,47.602542877197266,55.849002838134766,251.1470489501953
2018-08-01,23.333187103271484,36.13505172729492,47.159088134765625,54.85138702392578,250.72744750976562
2018-08-02,22.837905883789062,35.67754364013672,46.579193115234375,54.13380432128906,252.0933380126953
2018-08-03,22.61778450012207,35.70295715332031,46.05899429321289,54.02003479003906,253.173583984375
2018-08-06,22.177534103393555,35.50808334350586,45.97372055053711,53.5737419128418,254.10195922851562
2018-08-07,23.11306381225586,36.2960319519043,46.536556243896484,54.510101318359375,254.94107055664062
2018-08-08,22.562753677368164,36.1519889831543,45.726409912109375,54.30007553100586,254.8339385986328
2018-08-09,23.268985748291016,36.677284240722656,45.65818786621094,54.85138702392578,254.48582458496094
2018-08-10,22.929622650146484,36.236717224121094,45.359710693359375,54.396331787109375,252.78070068359375
2018-08-13,22.773706436157227,35.71143341064453,44.29372787475586,53.59999084472656,251.83447265625
2018-08-14,22.8287353515625,35.63517379760742,42.264095306396484,52.85615539550781,253.44131469726562
2018-08-15,21.829002380371094,34.38972473144531,40.839942932128906,50.91342544555664,251.54879760742188
2018-08-16,22.269254684448242,34.720149993896484,41.58186721801758,51.447242736816406,253.58407592773438
2018-08-17,22.43434715270996,35.17766189575195,42.212928771972656,52.1473274230957,254.4769287109375
2018-08-20,22.278427124023438,35.304752349853516,43.065711975097656,52.60237503051758,255.0214385986328
2018-08-21,22.86542320251465,35.940189361572266,43.54327392578125,53.451229095458984,255.61953735351562
2018-08-22,22.55358123779297,36.194358825683594,43.97819900512695,53.75750732421875,255.46780395507812
